 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
67.25,50.0,50.0,64.53,63.31,71.65,1.0,0.0,0.5,1.0,0.0,F1
67.85,50.0,86.0,56.33,66.74,70.19,0.15,1.0,0.0,0.0,0.0,F1
65.74,50.0,50.0,64.06,60.21,70.99,1.0,0.0,0.5,1.0,0.0,F1
66.69,50.0,50.0,63.95,61.87,71.6,1.0,0.0,0.5,1.0,0.0,F1
69.51,50.0,80.89,59.42,68.51,71.7,0.15,1.0,0.0,0.0,0.0,F1
66.58,50.0,50.0,63.95,62.04,71.59,1.0,0.0,0.5,1.0,0.0,F1
66.61,50.0,50.0,63.95,62.27,71.59,1.0,0.0,0.5,1.0,0.0,F1
67.78,50.0,50.0,64.8,63.72,71.83,1.0,0.0,0.5,1.0,0.0,F1
67.19,50.0,50.0,64.14,62.42,72.01,1.0,0.0,0.5,1.0,0.0,F1
68.24,50.0,86.0,56.59,67.34,70.78,0.15,1.0,0.0,0.0,0.0,F1
74.48,86.0,86.0,52.62,66.73,72.07,0.15,1.0,0.0,0.0,1.0,F2
57.82,57.92,86.0,61.9,64.58,65.28,0.15,1.0,0.0,0.0,0.3257575,F2
75.53,86.0,86.0,52.22,66.49,71.87,0.15,1.0,0.0,0.0,1.0,F2
60.94,60.32,86.0,56.0,63.62,66.47,0.15,1.0,0.0,0.0,0.395037004,F2
59.08,59.85,86.0,65.28,65.39,65.38,0.15,1.0,0.0,0.0,0.354202004,F2
55.05,54.11,86.0,67.28,64.98,63.94,0.15,1.0,0.0,0.0,0.238188375,F2
52.11,52.5,86.0,67.95,63.87,62.29,0.15,1.0,0.0,0.0,0.238765421,F2
75.44,86.0,86.0,52.2,66.94,72.48,0.15,1.0,0.0,0.0,1.0,F2
54.25,54.48,86.0,68.25,63.94,62.67,0.15,1.0,0.0,0.0,0.302494222,F2
52.93,51.73,86.0,67.71,64.34,62.91,0.15,1.0,0.0,0.0,0.128978463,F2
70.96,70.45,86.0,49.62,65.83,70.91,0.15,1.0,0.0,0.0,0.286567235,F3
70.49,69.93,86.0,50.0,65.56,70.45,0.15,1.0,0.0,0.0,0.298032012,F3
63.71,50.69,86.0,52.98,63.95,66.95,0.15,1.0,0.0,0.0,0.0,F3
63.99,50.0,86.0,52.76,64.76,67.74,0.15,1.0,0.0,0.0,0.0,F3
64.78,50.0,86.0,55.2,65.52,68.57,0.15,1.0,0.0,0.0,0.0,F3
64.5,50.0,86.0,53.7,64.79,68.12,0.15,1.0,0.0,0.0,0.0,F3
65.42,50.0,72.87,56.12,66.06,69.02,0.15,1.0,0.0,0.0,0.0,F3
64.82,50.0,80.34,53.74,65.2,68.46,0.15,1.0,0.0,0.0,0.0,F3
64.04,50.0,86.0,52.45,64.19,67.59,0.15,1.0,0.0,0.0,0.0,F3
72.17,72.31,86.0,49.26,66.28,71.47,0.15,1.0,0.0,0.0,0.344886196,F3
67.08,67.04,86.0,59.16,65.53,67.96,0.15,1.0,0.0,0.0,0.374054191,F4
65.63,65.94,86.0,54.23,64.76,68.31,0.15,1.0,0.0,0.0,0.423687771,F4
60.43,60.43,86.0,58.69,63.77,64.9,0.15,1.0,0.0,0.0,0.320425453,F4
60.81,60.42,86.0,56.57,63.66,65.63,0.15,1.0,0.0,0.0,0.278635716,F4
77.06,75.01,86.0,53.11,68.75,74.15,0.15,1.0,0.0,0.0,0.855730863,F4
76.71,86.0,86.0,53.08,67.68,72.66,0.15,1.0,0.0,0.0,1.0,F4
66.55,66.48,86.0,53.96,64.92,68.6,0.15,1.0,0.0,0.0,0.391240398,F4
67.9,67.84,86.0,53.48,65.48,69.54,0.15,1.0,0.0,0.0,0.446783244,F4
78.25,86.0,86.0,53.27,68.59,73.97,0.15,1.0,0.0,0.0,1.0,F4
55.73,55.17,86.0,61.41,63.24,63.74,0.15,1.0,0.0,0.0,0.19128481,F4
70.01,69.36,86.0,52.95,64.65,70.18,0.15,1.0,0.0,0.0,0.332679866,F5
65.58,50.0,67.66,59.5,65.95,68.69,1.0,0.995031922,0.002484037,0.0,0.0,F5
65.01,50.0,70.42,58.88,65.22,68.47,0.15,1.0,0.0,0.0,0.0,F5
63.3,50.0,86.0,54.85,63.41,66.74,0.15,1.0,0.0,0.0,0.0,F5
68.35,67.97,86.0,56.82,65.72,69.46,0.15,1.0,0.0,0.0,0.266627639,F5
68.02,67.99,86.0,56.62,65.95,69.24,0.15,1.0,0.0,0.0,0.278775684,F5
67.36,50.0,86.0,61.79,67.6,69.14,0.15,1.0,0.0,0.0,0.0,F5
66.93,50.0,81.67,60.62,67.58,69.76,0.15,1.0,0.0,0.0,0.0,F5
67.91,68.09,86.0,56.62,65.87,69.23,0.15,1.0,0.0,0.0,0.284817499,F5
66.5,63.22,86.0,59.8,66.73,68.38,0.15,1.0,0.0,0.0,0.0,F5
63.48,50.0,86.0,54.46,63.65,66.69,0.15,1.0,0.0,0.0,0.0,F6
64.58,50.0,86.0,56.34,64.57,67.6,0.15,1.0,0.0,0.0,0.0,F6
64.14,50.0,86.0,55.3,64.25,67.11,0.15,1.0,0.0,0.0,0.0,F6
66.36,50.0,86.0,59.22,66.58,68.82,0.15,1.0,0.0,0.0,0.0,F6
83.7,86.0,86.0,52.15,69.47,77.19,0.15,1.0,0.0,0.0,1.0,F6
63.41,50.0,86.0,54.46,63.77,66.7,0.15,1.0,0.0,0.0,0.0,F6
63.05,52.7,86.0,54.04,63.18,66.33,0.15,1.0,0.0,0.0,0.0,F6
63.17,50.24,86.0,54.04,63.38,66.49,0.15,1.0,0.0,0.0,0.0,F6
68.19,67.76,86.0,57.2,65.45,69.17,0.15,1.0,0.0,0.0,0.273017394,F6
70.87,70.12,86.0,52.59,65.88,71.05,0.15,1.0,0.0,0.0,0.328345315,F6
77.54,76.71,86.0,51.99,68.6,74.07,0.15,1.0,0.0,0.0,0.359646008,F7
70.8,70.79,86.0,55.27,66.8,70.5,0.15,1.0,0.0,0.0,0.274488897,F7
69.75,69.86,86.0,56.16,66.91,70.23,0.15,1.0,0.0,0.0,0.2603168,F7
79.79,78.75,86.0,51.86,69.29,75.27,0.15,1.0,0.0,0.0,0.391145074,F7
70.73,70.89,86.0,57.08,66.98,70.55,0.15,1.0,0.0,0.0,0.292115182,F7
69.9,70.06,86.0,56.28,66.88,70.14,0.15,1.0,0.0,0.0,0.268562728,F7
70.93,70.76,86.0,54.43,66.61,70.51,0.15,1.0,0.0,0.0,0.285448952,F7
71.34,71.18,86.0,53.62,66.6,70.78,0.15,1.0,0.0,0.0,0.294649975,F7
81.63,86.0,86.0,52.16,67.65,73.18,0.15,1.0,0.0,0.0,0.599669207,F7
72.93,71.9,86.0,52.88,67.26,71.74,0.15,1.0,0.0,0.0,0.296747135,F7
64.93,50.0,70.47,59.39,65.67,67.74,0.42288946,1.0,0.0,0.0,0.0,F8
