 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
67.25,50.0,50.0,64.53,63.31,71.65,1.0,0.0,0.5,1.0,0.0,F1
67.78,50.0,50.0,64.8,63.72,71.83,1.0,0.0,0.5,1.0,0.0,F1
69.51,50.0,80.89,59.42,68.51,71.7,0.15,1.0,0.0,0.0,0.0,F1
67.19,50.0,50.0,64.14,62.42,72.01,1.0,0.0,0.5,1.0,0.0,F1
68.24,50.0,86.0,56.59,67.34,70.78,0.15,1.0,0.0,0.0,0.0,F1
54.25,54.48,86.0,68.25,63.94,62.67,0.15,1.0,0.0,0.0,0.302494222,F2
57.82,57.92,86.0,61.9,64.58,65.28,0.15,1.0,0.0,0.0,0.3257575,F2
59.08,59.85,86.0,65.28,65.39,65.38,0.15,1.0,0.0,0.0,0.354202004,F2
74.48,86.0,86.0,52.62,66.73,72.07,0.15,1.0,0.0,0.0,1.0,F2
52.11,52.5,86.0,67.95,63.87,62.29,0.15,1.0,0.0,0.0,0.238765421,F2
63.71,50.69,86.0,52.98,63.95,66.95,0.15,1.0,0.0,0.0,0.0,F3
65.42,50.0,72.87,56.12,66.06,69.02,0.15,1.0,0.0,0.0,0.0,F3
64.5,50.0,86.0,53.7,64.79,68.12,0.15,1.0,0.0,0.0,0.0,F3
72.17,72.31,86.0,49.26,66.28,71.47,0.15,1.0,0.0,0.0,0.344886196,F3
70.96,70.45,86.0,49.62,65.83,70.91,0.15,1.0,0.0,0.0,0.286567235,F3
60.43,60.43,86.0,58.69,63.77,64.9,0.15,1.0,0.0,0.0,0.320425453,F4
67.08,67.04,86.0,59.16,65.53,67.96,0.15,1.0,0.0,0.0,0.374054191,F4
55.73,55.17,86.0,61.41,63.24,63.74,0.15,1.0,0.0,0.0,0.19128481,F4
66.55,66.48,86.0,53.96,64.92,68.6,0.15,1.0,0.0,0.0,0.391240398,F4
78.25,86.0,86.0,53.27,68.59,73.97,0.15,1.0,0.0,0.0,1.0,F4
68.02,67.99,86.0,56.62,65.95,69.24,0.15,1.0,0.0,0.0,0.278775684,F5
66.93,50.0,81.67,60.62,67.58,69.76,0.15,1.0,0.0,0.0,0.0,F5
67.91,68.09,86.0,56.62,65.87,69.23,0.15,1.0,0.0,0.0,0.284817499,F5
70.01,69.36,86.0,52.95,64.65,70.18,0.15,1.0,0.0,0.0,0.332679866,F5
63.3,50.0,86.0,54.85,63.41,66.74,0.15,1.0,0.0,0.0,0.0,F5
83.7,86.0,86.0,52.15,69.47,77.19,0.15,1.0,0.0,0.0,1.0,F6
70.87,70.12,86.0,52.59,65.88,71.05,0.15,1.0,0.0,0.0,0.328345315,F6
63.41,50.0,86.0,54.46,63.77,66.7,0.15,1.0,0.0,0.0,0.0,F6
64.58,50.0,86.0,56.34,64.57,67.6,0.15,1.0,0.0,0.0,0.0,F6
63.48,50.0,86.0,54.46,63.65,66.69,0.15,1.0,0.0,0.0,0.0,F6
69.75,69.86,86.0,56.16,66.91,70.23,0.15,1.0,0.0,0.0,0.2603168,F7
70.73,70.89,86.0,57.08,66.98,70.55,0.15,1.0,0.0,0.0,0.292115182,F7
70.93,70.76,86.0,54.43,66.61,70.51,0.15,1.0,0.0,0.0,0.285448952,F7
79.79,78.75,86.0,51.86,69.29,75.27,0.15,1.0,0.0,0.0,0.391145074,F7
81.63,86.0,86.0,52.16,67.65,73.18,0.15,1.0,0.0,0.0,0.599669207,F7
72.73,72.73,86.0,54.96,67.75,71.91,0.15,1.0,0.0,0.0,0.328006636,F8
67.03,56.48,86.0,55.36,65.99,69.27,0.15,1.0,0.0,0.0,0.0,F8
64.93,50.0,70.47,59.39,65.67,67.74,0.42288946,1.0,0.0,0.0,0.0,F8
60.68,50.0,60.97,60.17,60.41,67.17,1.0,0.0,0.5,0.221518601,0.0,F8
68.09,50.0,69.51,60.04,67.42,69.88,0.15,1.0,0.0,0.0,0.0,F8
66.95,50.0,70.06,53.87,65.98,69.3,0.227320325,1.0,0.0,0.0,0.0,F9
66.54,50.0,68.18,53.83,64.82,69.31,0.868808459,1.0,0.0,0.0,0.0,F9
68.78,61.76,86.0,48.95,64.53,69.2,0.15,1.0,0.0,0.0,0.0,F9
68.65,62.86,86.0,48.95,64.39,69.08,0.15,1.0,0.0,0.0,0.0,F9
68.67,65.42,86.0,48.77,64.96,69.78,0.15,1.0,0.0,0.0,0.0,F9
66.84,50.0,50.0,52.09,54.72,71.76,1.0,0.0,0.5,1.0,0.0,F10
66.22,50.0,50.0,52.35,53.24,71.49,1.0,0.0,0.5,1.0,0.0,F10
72.75,50.0,61.65,45.02,46.33,73.84,1.0,0.0,0.5,1.0,0.0,F10
67.53,50.0,50.0,52.24,54.46,71.75,1.0,0.0,0.5,1.0,0.0,F10
68.16,50.0,50.0,50.33,51.45,71.0,1.0,0.0,0.5,1.0,0.0,F10
68.15,50.0,86.0,49.53,65.78,70.33,0.15,1.0,0.0,0.0,0.0,F11
63.45,86.0,86.0,49.61,62.4,66.28,0.15,1.0,0.0,0.0,1.0,F11
64.02,86.0,86.0,51.64,62.93,66.36,0.15,1.0,0.0,0.0,1.0,F11
64.07,86.0,86.0,51.24,63.03,66.8,0.15,1.0,0.0,0.0,1.0,F11
66.68,52.03,86.0,49.48,64.79,69.23,0.15,1.0,0.0,0.0,0.0,F11
75.1,50.0,50.0,56.81,58.66,77.34,1.0,0.0,0.5,1.0,0.0,F12
78.13,50.0,50.0,48.72,49.61,76.22,1.0,0.0,0.5,1.0,0.0,F12
74.91,50.0,50.0,54.56,55.83,76.59,1.0,0.0,0.5,1.0,0.0,F12
75.37,50.0,50.0,51.4,51.52,75.11,1.0,0.0,0.5,1.0,0.0,F12
75.45,50.0,50.0,56.37,57.74,77.07,1.0,0.0,0.5,1.0,0.0,F12
71.42,50.0,50.0,54.67,55.23,73.35,1.0,0.0,0.5,1.0,0.0,F13
71.46,50.0,50.0,55.77,55.85,72.83,1.0,0.0,0.5,1.0,0.0,F13
70.35,50.0,50.0,52.31,52.99,72.72,1.0,0.0,0.5,1.0,0.0,F13
71.38,50.0,50.0,56.01,56.09,73.16,1.0,0.0,0.5,1.0,0.0,F13
70.95,50.0,50.0,56.01,56.04,73.31,1.0,0.0,0.5,1.0,0.0,F13
63.42,62.26,86.0,54.98,64.66,67.23,0.15,1.0,0.0,0.0,0.227134888,F14
64.88,62.13,86.0,69.48,66.78,65.62,0.15,1.0,0.0,0.0,0.475623156,F14
56.62,59.85,86.0,69.39,65.89,64.43,0.15,1.0,0.0,0.0,0.40568501,F14
73.55,86.0,86.0,49.89,63.63,67.99,0.15,1.0,0.0,0.0,1.0,F14
55.86,56.77,86.0,67.8,65.17,63.72,0.15,1.0,0.0,0.0,0.20891815,F14
71.18,71.55,86.0,60.69,68.63,71.02,0.15,1.0,0.0,0.0,0.26710392,Normal
61.1,50.0,63.96,70.65,68.0,69.06,1.0,0.0,0.5,0.11672549,0.0,Normal
67.4,50.0,61.51,68.04,64.96,68.79,1.0,0.0,0.5,0.51578243,0.0,Normal
66.75,50.0,63.96,70.38,68.33,68.27,1.0,0.0,0.5,0.322328487,0.0,Normal
62.27,50.0,63.4,68.01,65.94,69.74,1.0,0.000202634,0.499898683,0.307876371,0.0,Normal
