 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
66.61,50.0,50.0,63.95,62.27,71.59,1.0,0.0,0.5,1.0,0.0,F1
70.22,50.0,71.7,60.45,69.32,72.36,0.15,1.0,0.0,0.0,0.0,F1
67.25,50.0,50.0,64.53,63.31,71.65,1.0,0.0,0.5,1.0,0.0,F1
67.74,50.0,50.0,64.8,63.24,71.81,1.0,0.0,0.5,1.0,0.0,F1
66.69,50.0,50.0,63.95,61.87,71.6,1.0,0.0,0.5,1.0,0.0,F1
68.24,50.0,86.0,56.59,67.34,70.78,0.15,1.0,0.0,0.0,0.0,F1
66.98,50.0,50.0,64.06,61.89,71.13,1.0,0.0,0.5,1.0,0.0,F1
71.84,50.0,86.0,58.09,70.9,71.24,0.08625,1.0,0.0,0.0,0.0,F1
67.78,50.0,50.0,64.8,63.72,71.83,1.0,0.0,0.5,1.0,0.0,F1
69.51,50.0,80.89,59.42,68.51,71.7,0.15,1.0,0.0,0.0,0.0,F1
66.58,50.0,50.0,63.95,62.04,71.59,1.0,0.0,0.5,1.0,0.0,F1
66.3,50.0,50.0,63.5,61.54,71.86,1.0,0.0,0.5,1.0,0.0,F1
69.59,50.0,79.31,59.42,68.65,71.77,0.15,1.0,0.0,0.0,0.0,F1
64.66,50.0,54.53,61.5,59.56,70.76,1.0,0.0,0.5,1.0,0.0,F1
68.44,50.0,85.25,56.98,67.7,70.97,0.15,1.0,0.0,0.0,0.0,F1
67.27,55.92,86.0,56.61,66.11,69.57,0.15,1.0,0.0,0.0,0.0,F1
67.19,50.0,50.0,64.14,62.42,72.01,1.0,0.0,0.5,1.0,0.0,F1
66.15,50.0,50.0,65.08,61.38,72.11,1.0,0.0,0.5,1.0,0.0,F1
65.74,50.0,50.0,64.06,60.21,70.99,1.0,0.0,0.5,1.0,0.0,F1
67.85,50.0,86.0,56.33,66.74,70.19,0.15,1.0,0.0,0.0,0.0,F1
73.01,86.0,86.0,51.07,63.72,67.88,0.15,1.0,0.0,0.0,1.0,F2
52.11,52.5,86.0,67.95,63.87,62.29,0.15,1.0,0.0,0.0,0.238765421,F2
74.48,86.0,86.0,52.62,66.73,72.07,0.15,1.0,0.0,0.0,1.0,F2
55.05,54.11,86.0,67.28,64.98,63.94,0.15,1.0,0.0,0.0,0.238188375,F2
61.11,60.82,86.0,56.0,63.69,66.56,0.15,1.0,0.0,0.0,0.376443815,F2
57.37,57.76,86.0,67.0,64.44,63.73,0.15,1.0,0.0,0.0,0.309245403,F2
54.25,54.48,86.0,68.25,63.94,62.67,0.15,1.0,0.0,0.0,0.302494222,F2
60.05,60.71,86.0,64.87,65.32,65.44,0.15,1.0,0.0,0.0,0.349296365,F2
