Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
52.36,53.04,55.04,86.86,74.03,66.43,0.48,0.1,1.0,0.1,0.44,0.0,F1
58.1,53.04,59.41,69.62,69.76,71.75,0.26,1.0,0.0,0.9,0.31,0.0,F1
51.05,53.04,55.04,72.15,74.06,71.12,0.2,0.14,1.0,0.1,0.29,0.0,F1
53.41,53.04,55.04,84.33,74.72,67.96,0.5,0.1,1.0,0.1,0.3,0.0,F1
59.87,53.04,58.76,76.78,78.5,76.38,0.2,0.14,1.0,0.1,0.08,0.0,F1
62.53,53.04,64.6,67.42,68.24,72.82,0.35,1.0,0.0,0.9,0.23,0.0,F1
63.14,53.04,67.79,66.31,66.59,71.87,0.36,1.0,0.0,0.9,0.06,0.0,F1
53.41,53.04,55.04,85.67,74.37,67.19,0.38,0.11,1.0,0.1,0.4,0.0,F1
63.82,53.04,72.5,66.61,67.17,71.17,0.24,1.0,0.0,0.9,0.0,0.0,F1
58.05,53.04,72.2,76.71,78.4,76.55,0.21,0.14,1.0,0.1,0.0,0.0,F1
59.92,53.04,55.04,86.01,76.0,69.45,0.48,0.1,1.0,0.1,0.72,0.0,F1
60.8,53.04,55.04,83.29,76.03,70.28,0.5,0.1,1.0,0.1,0.56,0.0,F1
58.28,54.86,72.5,75.58,75.42,71.64,0.1,0.15,1.0,0.1,0.0,0.0,F1
50.0,53.04,55.04,72.88,74.02,70.69,0.2,0.14,1.0,0.1,0.28,0.0,F1
61.07,53.04,62.67,68.28,68.73,72.53,0.3,1.0,0.0,0.9,0.28,0.0,F1
53.09,53.04,55.04,85.35,74.76,67.71,0.5,0.1,1.0,0.1,0.36,0.0,F1
63.15,53.04,71.48,67.43,67.43,71.05,0.32,1.0,0.0,0.9,0.0,0.0,F1
60.72,53.04,55.04,85.91,75.97,69.44,0.5,0.1,1.0,0.1,0.74,0.0,F1
57.93,53.04,59.26,69.58,69.75,71.69,0.26,1.0,0.0,0.9,0.32,0.0,F1
52.02,53.04,55.04,86.4,74.31,67.01,0.36,0.12,1.0,0.1,0.39,0.0,F1
55.47,53.04,55.04,84.85,75.86,69.43,0.5,0.1,1.0,0.1,0.4,0.0,F1
