Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
59.01,53.04,55.04,79.04,76.08,71.55,0.27,0.13,1.0,0.1,0.72,0.0,F1
52.74,53.04,55.04,86.66,74.69,67.38,0.5,0.1,1.0,0.1,0.34,0.0,F1
51.82,53.04,55.04,86.65,74.2,66.77,0.37,0.12,1.0,0.1,0.38,0.0,F1
58.26,53.04,59.74,69.77,69.79,71.81,0.25,1.0,0.0,0.9,0.31,0.0,F1
57.74,53.04,55.04,80.6,76.27,71.12,0.5,0.1,1.0,0.1,0.37,0.0,F1
78.79,53.04,55.04,70.2,70.83,82.35,0.5,1.0,0.0,0.9,1.0,0.0,F2
80.22,53.04,55.04,77.66,84.55,83.51,0.5,0.1,1.0,0.1,1.0,0.0,F2
89.74,53.04,55.04,74.95,88.4,89.54,0.5,0.1,1.0,0.1,1.0,0.0,F2
77.64,53.04,55.04,74.6,84.37,83.8,0.5,0.1,1.0,0.1,1.0,0.0,F2
81.99,53.04,55.04,66.52,68.78,84.05,0.5,1.0,0.0,0.9,1.0,0.0,F2
80.16,53.04,55.04,65.25,67.18,83.71,0.5,1.0,0.0,0.9,1.0,0.0,F3
76.27,53.04,55.04,65.82,67.84,83.99,0.5,1.0,0.0,0.9,1.0,0.0,F3
85.68,53.04,55.04,64.52,66.84,86.2,0.5,1.0,0.0,0.9,1.0,0.0,F3
77.0,53.04,55.04,66.3,67.82,83.73,0.5,1.0,0.0,0.9,1.0,0.0,F3
80.48,53.04,55.04,66.52,68.2,84.2,0.5,1.0,0.0,0.9,1.0,0.0,F3
82.12,53.04,55.04,62.35,64.26,83.34,0.5,1.0,0.0,0.9,1.0,0.0,F4
79.94,53.04,55.04,57.54,60.05,79.29,0.5,1.0,0.0,0.9,1.0,0.0,F4
74.49,53.04,55.04,67.3,69.15,85.32,0.5,1.0,0.0,0.9,1.0,0.0,F4
81.04,53.04,55.04,60.12,62.39,81.78,0.5,1.0,0.0,0.9,1.0,0.0,F4
73.16,53.04,55.04,68.14,69.6,84.59,0.5,1.0,0.0,0.9,1.0,0.0,F4
69.7,53.04,72.5,61.3,65.68,74.64,0.22,1.0,0.0,0.9,0.0,0.0,F5
72.56,65.16,72.5,61.94,74.38,74.9,0.1,0.7,0.34,0.63,0.0,0.0,F5
55.96,53.04,55.04,68.09,68.57,72.19,0.45,1.0,0.0,0.9,0.42,0.0,F5
66.33,53.04,72.5,63.36,65.41,74.86,0.47,1.0,0.0,0.9,0.0,0.0,F5
65.73,53.04,72.5,61.37,64.18,72.53,0.33,1.0,0.0,0.9,0.0,0.0,F5
65.23,53.04,72.5,59.62,61.61,76.39,0.35,1.0,0.0,0.9,0.0,0.0,F6
66.64,53.04,69.2,66.15,66.72,70.21,0.38,1.0,0.0,0.9,0.12,0.0,F6
55.35,53.04,55.04,71.78,71.26,70.85,0.39,1.0,0.0,0.9,0.39,0.0,F6
56.7,53.04,55.04,68.39,68.3,71.81,0.39,1.0,0.0,0.9,0.35,0.0,F6
63.84,53.04,72.5,61.23,62.46,74.82,0.38,1.0,0.0,0.9,0.0,0.0,F6
53.17,53.04,72.5,63.97,70.88,69.12,0.31,0.12,1.0,0.1,0.0,0.26,F7
50.87,53.04,72.5,59.15,71.66,71.39,0.22,0.14,1.0,0.1,0.0,0.27,F7
57.29,53.04,72.5,58.45,75.77,77.8,0.14,0.29,0.83,0.24,0.0,0.0,F7
70.33,72.5,72.5,55.64,74.36,72.72,0.1,0.15,1.0,0.1,0.0,0.36,F7
59.24,55.6,72.5,58.03,76.92,77.71,0.1,0.27,0.86,0.21,0.0,0.0,F7
54.31,53.04,55.04,72.02,72.18,67.99,0.44,0.11,1.0,0.1,0.38,0.0,Normal
58.06,53.04,55.78,68.84,68.72,72.46,0.34,1.0,0.0,0.9,0.34,0.0,Normal
72.54,72.5,72.5,53.67,73.91,71.76,0.1,0.15,1.0,0.1,0.0,0.22,Normal
72.72,72.5,72.5,55.51,74.75,73.1,0.1,0.15,1.0,0.1,0.0,0.21,Normal
72.33,72.5,72.5,59.82,73.86,72.05,0.1,0.15,1.0,0.1,0.0,0.25,Normal
