Supply Air Temperature,Supply Air Temperature Heating Set Point,Supply Air Temperature Cooling Set Point,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Exhaust Air Damper Control Signal,Cooling Coil Valve Control Signal,Heating Coil Valve Control Signal,fault type
55.7,53.04,55.04,86.33,75.36,68.4,0.5,0.1,1.0,0.1,0.6,0.0,F1
60.77,53.04,55.04,80.58,77.37,72.78,0.5,0.1,1.0,0.1,0.48,0.0,F1
52.74,53.04,55.04,86.66,74.69,67.38,0.5,0.1,1.0,0.1,0.34,0.0,F1
60.72,53.04,55.04,85.91,75.97,69.44,0.5,0.1,1.0,0.1,0.74,0.0,F1
51.51,53.04,55.04,72.14,74.09,71.26,0.18,0.14,1.0,0.1,0.29,0.0,F1
63.15,53.04,71.48,67.43,67.43,71.05,0.32,1.0,0.0,0.9,0.0,0.0,F1
53.27,53.04,55.04,75.23,75.09,70.85,0.25,0.13,1.0,0.1,0.5,0.0,F1
63.2,53.04,72.5,67.57,67.97,70.82,0.25,1.0,0.0,0.9,0.0,0.0,F1
58.26,53.04,59.74,69.77,69.79,71.81,0.25,1.0,0.0,0.9,0.31,0.0,F1
63.82,53.04,72.5,66.61,67.17,71.17,0.24,1.0,0.0,0.9,0.0,0.0,F1
49.71,53.04,55.04,73.72,74.14,70.28,0.21,0.14,1.0,0.1,0.31,0.0,F1
50.0,53.04,55.04,72.88,74.02,70.69,0.2,0.14,1.0,0.1,0.28,0.0,F1
53.78,53.04,55.04,84.1,74.99,68.36,0.5,0.1,1.0,0.1,0.32,0.0,F1
58.28,54.86,72.5,75.58,75.42,71.64,0.1,0.15,1.0,0.1,0.0,0.0,F1
57.74,53.04,55.04,80.6,76.27,71.12,0.5,0.1,1.0,0.1,0.37,0.0,F1
51.82,53.04,55.04,86.65,74.2,66.77,0.37,0.12,1.0,0.1,0.38,0.0,F1
49.58,53.04,55.04,73.68,74.07,70.25,0.21,0.14,1.0,0.1,0.29,0.0,F1
63.14,53.04,67.79,66.31,66.59,71.87,0.36,1.0,0.0,0.9,0.06,0.0,F1
59.01,53.04,55.04,79.04,76.08,71.55,0.27,0.13,1.0,0.1,0.72,0.0,F1
63.74,53.04,72.5,67.37,67.68,71.33,0.21,1.0,0.0,0.9,0.0,0.0,F1
78.01,53.04,55.04,78.1,84.84,83.65,0.5,0.1,1.0,0.1,1.0,0.0,F2
86.91,53.04,55.04,70.0,71.07,83.6,0.5,1.0,0.0,0.9,1.0,0.0,F2
75.37,53.04,55.04,72.4,83.05,82.71,0.5,0.1,1.0,0.1,1.0,0.0,F2
87.61,53.04,55.04,71.77,72.87,86.01,0.5,1.0,0.0,0.9,1.0,0.0,F2
81.99,53.04,55.04,66.52,68.78,84.05,0.5,1.0,0.0,0.9,1.0,0.0,F2
80.03,53.04,55.04,74.19,84.46,84.17,0.5,0.1,1.0,0.1,1.0,0.0,F2
